Designator,Mid X,Mid Y,Rotation,Layer
BT1_9,-58.999995,21.999993,0.0,bottom
SW2_9,-122.000003,34.249993,-30.0,bottom
D1_9,-51.151556,64.151565,-45.0,bottom
SW2_8,-88.999999,34.249993,-30.0,bottom
SW1_9,-135.500003,-17.600018,125.0,bottom
D1_8,-84.15156,64.151565,-45.0,bottom
BT1_8,-58.999995,-11.000018,0.0,bottom
D1_7,-51.151556,-1.848457,-45.0,bottom
BT1_7,-91.999999,21.999993,0.0,bottom
SW2_7,-55.999995,34.249993,-30.0,bottom
SW1_8,-135.500003,48.400004,125.0,bottom
SW2_6,-55.999995,67.250004,-30.0,bottom
SW1_7,-135.500003,15.399993,125.0,bottom
BT1_6,-125.000003,-11.000018,0.0,bottom
D1_6,-117.151564,31.151554,-45.0,bottom
SW2_5,-88.999999,67.250004,-30.0,bottom
BT1_5,-125.000003,55.000004,0.0,bottom
SW2_4,-122.000003,1.249982,-30.0,bottom
BT1_4,-58.999995,55.000004,0.0,bottom
D1_5,-84.15156,-1.848457,-45.0,bottom
BT1_3,-91.999999,-11.000018,0.0,bottom
SW2_3,-88.999999,1.249982,-30.0,bottom
D1_4,-84.15156,31.151554,-45.0,bottom
SW1_6,-102.499999,-17.600018,125.0,bottom
SW1_5,-69.499995,15.399993,125.0,bottom
D1_3,-51.151556,31.151554,-45.0,bottom
BT1_2,-91.999999,55.000004,0.0,bottom
D1_2,-117.151564,-1.848457,-45.0,bottom
SW1_4,-102.499999,48.400004,125.0,bottom
SW2_2,-55.999995,1.249982,-30.0,bottom
BT1,-125.000003,21.999993,0.0,bottom
SW2,-122.000003,67.250004,-30.0,bottom
SW1_3,-69.499995,48.400004,125.0,bottom
D1,-117.151564,64.151565,-45.0,bottom
SW1_2,-102.499999,15.399993,125.0,bottom
SW1,-69.499995,-17.600018,125.0,bottom
D6_9,-125.000003,13.499993,180.0,top
R2_9,-130.500003,51.000004,90.0,top
C4_9,-96.099999,-6.500018,45.0,top
R3_9,-120.000003,-15.500018,0.0,top
D2_9,-116.500003,21.999993,-90.0,top
D3_9,-67.499995,-11.000018,-90.0,top
R6_9,-102.499999,20.499993,-90.0,top
D6_8,-58.999995,46.500004,180.0,top
C2_9,-57.979995,-8.500018,180.0,top
D3_8,-100.499999,-11.000018,-90.0,top
R1_9,-56.249995,-11.750018,-90.0,top
C1_9,-61.749995,21.269993,-90.0,top
D2_8,-50.499995,-11.000018,-90.0,top
C2_8,-90.979999,24.499993,180.0,top
C5_9,-131.400003,-11.200018,-90.0,top
